Version;Discrimina;ZoneID;ZoneName;LengthM;SiteCode;DateStart;DateFinish;AssessorCo;ZoneDescription;Comments;Comments2;TravelDirection;RoadType;RCACConsValue;FieldRating;RCACScore;HabitatScore;RoadWidthM;LRoadWidth;RRoadWidth;WidthVarie;RCACWidth;RCACTreesW;RCACTreesS;RCACGround;RCACGrassl;RCACLeafLi;RCACLogs;RCACRocksC;RCACWetlan;RCACMaxFau;RCACRegene;RCACWildli;RCACWeedCo;RCACSiteDi;RCACRareSp;HollowTree;LargeOldTree;Trees;LogsWoodyD;GroundFlor;Mistletoe;Shrubs;NonWeedySi;BioticSoil;LeafMulchL;Rocks;CracksCrev;Wetland;Disturbanc;Regenerati;Weeds;Powerline;BiomassRed;AdjoiningL;AdjoiningV;PowerlineD;CanopyCont;OverallFue;GroundFuel;ElevatedFu;BarkHazard;Majorweeds;Bioregion;Locality;LandFormLS;LandForm00;TypicalGeo;SoilType;EVCCode;EVCNotes;EVCSource;ManPrescri;Origin;LGA;ID;Recommenda;DescID;RCACScoreI;WKT_Geometry
0;line;51495;nintingbool road;835.000.000.000.000.000;g094;17/09/2014;17/09/2014;519;cleared under powerlines;;;w;;high;high;15;40;20;n/a;20+;0;3;0.000000000000000;2.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;5.000.000.000.000.000;1.000.000.000.000.000;2.000.000.000.000.000;2.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;0;0;18;0;29;0;23;0;1;1;0;0;0;2;2;3;1;298;;i+e;;patchy;;;;;;;;;;0;;47;47;survey;47h.pdf;;golden plains;eo-519;;10;15;linestring (143.728487894295 -37.6076064405009,143.719293902189 -37.6058205964244)
0;line;51496;nintingbool road;267.000.000.000.000.000;g094;17/09/2014;17/09/2014;519;cleared under powerlines;;;w;;medium;medium;11;28;20;n/a;20+;0;3;0.000000000000000;2.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;4.000.000.000.000.000;0.000000000000000;1.000.000.000.000.000;1.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;0;0;16;0;29;0;16;0;1;0;0;0;0;2;1;2;1;298;;i+e;;none;;;;;;;;;;0;;47;47;survey;47m.pdf;;golden plains;eo-519;;10;11;linestring (143.71929416487 -37.6058047344257,143.716351071719 -37.6052334587683)
0;line;51497;nintingbool road;190.000.000.000.000.000;g094;17/09/2014;17/09/2014;519;cleared under powerlines;;;s;;low;low;2;0;4;n/a;0-5;0;1;0.000000000000000;0.000000000000000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0;0;0;0;28;0;0;0;0;0;0;0;0;1;1;1;1;298;;en;;none;;;;;;;;;;0;;47;47;survey;47l.pdf;;golden plains;eo-519;;10;2;linestring (143.71629773645 -37.6052435161448,143.715629782805 -37.6068735038887)
0;line;51498;thomas road (haddon);730.000.000.000.000.000;g083c;17/09/2014;17/09/2014;519;cleared with occasional trees and/or shrubs;;roadside only scores hcv due to listed species presence, otherwise lcv;e;;high (low base score);low;18;33;4;0-5;n/a;0;1;0.000000000000000;0.000000000000000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;15.000.000.000.000.000;0;0;0;0;29;0;0;0;0;0;0;0;0;1;1;1;0;298;;e;;none;;;;;;;;;;0;;47;47;survey;47h.pdf;;golden plains;eo-519;;2;3;linestring (143.714891695019 -37.6010988384098,143.723038802845 -37.6022230860235)
0;line;51499;thomas road (haddon);625.000.000.000.000.000;g083c;17/09/2014;17/09/2014;519;woodland with patchy native grass understorey;;;e;;high;high;15;52;4;0-5;n/a;0;1;0.000000000000000;2.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;5.000.000.000.000.000;1.000.000.000.000.000;2.000.000.000.000.000;2.000.000.000.000.000;4.000.000.000.000.000;0.000000000000000;0;0;0;0;29;0;24;0;2;2;0;0;0;3;2;3;0;289;;i+e;;none;;;;;;;;;;0;;47;47;survey;47h.pdf;;golden plains;eo-519;;32;15;linestring (143.72310523615 -37.6022291196784,143.73008533917 -37.6031658517038)
0;line;51500;thomas road (haddon);1.357.000.000.000.000.000;g083c;17/09/2014;17/09/2014;519;cleared under powerlines;;;w;;low;low;5;0;4;n/a;0-5;0;0;0.000000000000000;0.000000000000000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;2.000.000.000.000.000;0.000000000000000;0;0;0;0;29;0;0;0;0;0;0;0;0;2;1;1;1;298;;i+e;;none;;;;;;;;;;0;;47;47;survey;47l.pdf;;golden plains;eo-519;;10;5;linestring (143.729862843755 -37.6033486605065,143.714715870881 -37.6012716257365)
0;line;51501;doble road;122.000.000.000.000.000;g264;18/09/2014;18/09/2014;531;cleared with occasional trees and/or shrubs;;;s;;medium;medium;10;35;5;0-5;n/a;0;1;0.000000000000000;2.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;4.000.000.000.000.000;1.000.000.000.000.000;0.000000000000000;2.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;0;0;16;0;29;0;16;0;1;0;0;0;0;2;2;3;0;298;;en;;none;;;;;;;;;;0;;47;47;survey;47m.pdf;;golden plains;eo-531;;2;10;linestring (143.790720414454 -37.6036035649174,143.790503602004 -37.604691297639)
0;line;51502;doble road;933.000.000.000.000.000;g264;18/09/2014;18/09/2014;531;cleared with occasional trees and/or shrubs;;;s;;medium;medium;9;25;5;0-5;n/a;0;1;0.000000000000000;2.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;5.000.000.000.000.000;0.000000000000000;0.000000000000000;1.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;0;0;16;0;29;0;16;0;1;1;0;0;0;2;1;2;0;298;;e;;none;;;;;;;;;;0;;47;47;survey;47m.pdf;;golden plains;eo-531;;2;9;linestring (143.790469516303 -37.6047438154193,143.788866872691 -37.6130553389082)
0;line;51503;doble road;1.066.000.000.000.000.000;g264;18/09/2014;18/09/2014;531;cleared under powerlines;;;n;;low;low;3;0;4;n/a;0-5;0;1;0.000000000000000;0.000000000000000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0;0;0;0;29;0;0;0;0;0;0;0;0;1;1;1;1;298;;e;;none;;;;;;;;;;0;;47;47;survey;47l.pdf;;golden plains;eo-531;;10;3;linestring (143.788634865069 -37.6130054211144,143.790462560603 -37.6035110190273)
0;line;51504;anne court;434.000.000.000.000.000;g024;18/09/2014;18/09/2014;531;dominated by planted and spreading environmental weeds;;;w;;low;low;7;0;4;0-5;n/a;0;1;0.000000000000000;1.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;3.000.000.000.000.000;0.000000000000000;0.000000000000000;1.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;0;0;0;0;29;0;16;0;0;0;0;0;0;2;1;2;0;289;;e;;none;;;;;;;;;;0;;47;47;survey;47l.pdf;;golden plains;eo-531;;13;7;linestring (143.789071411861 -37.6106660214794,143.787019758117 -37.6104494877583,143.784629548881 -37.6097849716591,143.784653518329 -37.6095312547989)
0;line;51505;anne court;403.000.000.000.000.000;g024;18/09/2014;18/09/2014;531;cleared with occasional trees and/or shrubs;;;e;;low;low;7;0;4;n/a;0-5;0;1;0.000000000000000;1.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;3.000.000.000.000.000;0.000000000000000;0.000000000000000;1.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;0;0;0;0;29;0;16;0;0;0;0;0;0;2;1;2;1;289;;e;;none;;;;;;;;;;0;;47;47;survey;47l.pdf;;golden plains;eo-531;;2;7;linestring (143.789100430249 -37.6105128141634,143.786922789279 -37.6102738533809,143.784896712519 -37.6097136179738,143.784899537986 -37.6095390483503)
